ML Model,Accuracy,AUC,Precision,Recall,F1 Score,MCC,Average Score
Logistic Regression,0.9206757253029747,0.9933984516940367,0.9215328435004574,0.9206757253029747,0.9208728071055451,0.9041666634728006,0.9302203693964648
Decision Tree,0.8920308483290489,0.9333762814552742,0.8916927238123676,0.8920308483290489,0.891630337288096,0.8695693170006366,0.8950550593690787
KNN,0.9166360631656262,0.9812466098253438,0.9174092603022151,0.9166360631656262,0.9168048079580466,0.8992035213926259,0.9246560543015806
Naive Bayes,0.7638633859713552,0.9644421096213359,0.7653708847319572,0.7638633859713552,0.7614742997970327,0.7154063217966201,0.7890700646482761
Random Forest,0.9214102093279471,0.9921469350511664,0.921498019073638,0.9214102093279471,0.9213600485497091,0.90494680821441,0.9304620382574695
